X	Y	nZxy
-1350	-90	119.665449657733
-1350	-90.0005	179.665431632919
-1350	-930	209.383762586664
-1350	-990	207.220784938731
-1350	1050	160.762024968469
-1350	1110	162.925002616403
-1350	1170	225.087980264336
-1350	1230	227.25095791227
-1350	1290	229.413935560203
-1350	1350	231.576913208137
-1350	1410	233.73989085607
-1350	1470	235.902868504003
-1350	150	8.3173602494669
-1350	1530	298.065846151937
-1350	1590	300.22882379987
-1350	1650	362.391801447804
-1350	1710	364.554779095737
-1350	1770	366.717756743671
-1350	1830	428.880734391604
-1350	1890	431.043712039538
-1350	1950	433.206689687471
-1350	2010	495.369667335405
-1350	2070	497.532644983338
-1350	210	10.4803378974004
-1350	2130	499.695622631272
-1350	2190	501.858600279205
-1350	2250	564.021577927139
-1350	2310	566.184555575072
-1350	2370	568.347533223006
-1350	2430	570.510510870939
-1350	2490	572.673488518873
-1350	2550	574.836466166806
-1350	2610	576.99944381474
-1350	2670	579.162421462673
-1350	270	12.643315545334
-1350	2730	581.325399110607
-1350	2790	583.48837675854
-1350	2850	585.651354406474
-1350	29.9995	123.991386928786
-1350	2910	587.814332054407
-1350	2970	589.977309702341
-1350	30	63.9914049536001
-1350	30.0002	63.9914121635256
-1350	3030	592.140287350274
-1350	3090	594.303264998207
-1350	3150	596.466242646141
-1350	3210	598.629220294074
-1350	3270	600.792197942008
-1350	330	14.8062931932675
-1350	3330	602.955175589941
-1350	3390	605.118153237875
-1350	3450	547.281130885808
-1350	3510	549.444108533742
-1350	3570	551.607086181675
-1350	3630	553.770063829609
-1350	3690	495.933041477542
-1350	3750	498.096019125476
-1350	3810	440.258996773409
-1350	3870	442.421974421343
-1350	390	16.9692708412008
-1350	3930	444.584952069276
-1350	3990	386.74792971721
-1350	4050	328.910907365143
-1350	4110	271.073885013077
-1350	4170	213.23686266101
-1350	4230	215.399840308944
-1350	4290	157.562817956877
-1350	4350	159.72579560481
-1350	4410	101.888773252744
-1350	4470	44.0517509006775
-1350	450	19.1322484891343
-1350	4530	46.214728548611
-1350	4590	-11.6222938034557
-1350	4650	-9.45931615552217
-1350	4710	-7.29633850758864
-1350	4770	-65.1333608596551
-1350	4830	-62.9703832117218
-1350	4890	-120.807405563788
-1350	4950	-178.644427915855
-1350	5010	-236.481450267921
-1350	5070	-234.318472619988
-1350	510	21.2952261370679
-1350	5130	-292.155494972054
-1350	5190	-349.992517324121
-1350	5250	-407.829539676187
-1350	5310	-465.666562028254
-1350	5370	-463.50358438032
